Symbol,Name,Last Sale,Net Change,% Change,Market Cap
LULU,lululemon athletica inc. Common Stock,$323.38,3.00,0.936%,"41,235,715,651"
BIDU,"Baidu, Inc. ADS",$119.13,4.75,4.153%,"41,165,432,614"
NXPI,NXP Semiconductors N.V. Common Stock,$155.05,-2.98,-1.886%,"40,178,860,353"
ADSK,"Autodesk, Inc. Common Stock",$185.15,-1.72,-0.92%,"39,949,351,514"
ROST,"Ross Stores, Inc. Common Stock",$115.83,-0.24,-0.207%,"39,888,493,972"
BIIB,Biogen Inc. Common Stock,$272.63,-4.29,-1.549%,"39,259,102,773"
XEL,Xcel Energy Inc. Common Stock,$70.07,-0.04,-0.057%,"38,345,702,115"
FTNT,"Fortinet, Inc. Common Stock",$48.52,-0.37,-0.757%,"38,254,705,114"
MCHP,Microchip Technology Incorporated Common Stock,$69.10,-1.15,-1.637%,"38,005,601,861"
BNTX,BioNTech SE American Depositary Share,$148.65,-1.57,-1.045%,"36,075,184,859"
ENPH,"Enphase Energy, Inc. Common Stock",$253.31,-11.65,-4.397%,"34,430,800,023"
PCAR,PACCAR Inc. Common Stock,$98.43,-0.54,-0.546%,"34,230,762,407"
EA,Electronic Arts Inc. Common Stock,$122.80,0.62,0.507%,"33,902,652,735"
IDXX,"IDEXX Laboratories, Inc. Common Stock",$406.01,-1.95,-0.478%,"33,624,512,712"
TEAM,Atlassian Corporation Class A Common Stock,$126.50,-2.18,-1.694%,"32,323,278,482"
WBA,"Walgreens Boots Alliance, Inc. Common Stock",$37.19,-0.17,-0.455%,"32,070,210,014"
ILMN,"Illumina, Inc. Common Stock",$200.87,-1.33,-0.658%,"31,596,851,000"
CSGP,"CoStar Group, Inc. Common Stock",$77.65,0.37,0.479%,"31,579,483,159"
ODFL,"Old Dominion Freight Line, Inc. Common Stock",$282.52,-1.26,-0.444%,"31,213,267,847"
DLTR,Dollar Tree Inc. Common Stock,$140.26,-1.18,-0.834%,"31,023,335,025"
MRVL,"Marvell Technology, Inc. Common Stock",$35.99,-1.05,-2.835%,"30,706,668,000"
NDAQ,"Nasdaq, Inc. Common Stock",$61.76,0.41,0.668%,"30,511,497,967"
SBAC,SBA Communications Corporation Class A Common Stock,$281.74,1.43,0.51%,"30,418,210,676"
CTSH,Cognizant Technology Solutions Corporation Class A Common Stock,$57.59,0.40,0.699%,"29,596,735,269"
CPRT,"Copart, Inc. (DE) Common Stock",$61.46,0.57,0.936%,"29,273,398,676"
BKR,Baker Hughes Company Class A Common Stock,$28.75,-0.78,-2.641%,"28,792,192,034"
ALNY,"Alnylam Pharmaceuticals, Inc. Common Stock",$233.59,-4.06,-1.708%,"28,738,165,180"
GMAB,Genmab A/S ADS,$43.03,0.65,1.534%,"28,383,264,862"
VOD,Vodafone Group Plc American Depositary Shares,$10.36,0.24,2.372%,"28,296,282,690"
GFS,GlobalFoundries Inc. Ordinary Shares,$51.70,-2.19,-4.064%,"28,180,297,158"
VRSK,"Verisk Analytics, Inc. Common Stock",$177.34,0.92,0.521%,"27,733,839,053"
FAST,Fastenal Company Common Stock,$47.40,0.08,0.169%,"27,148,818,312"
CEG,Constellation Energy Corporation Common Stock ,$81.91,-4.30,-4.988%,"26,786,035,779"
ON,ON Semiconductor Corporation Common Stock,$61.61,-0.76,-1.219%,"26,641,616,333"
WTW,Willis Towers Watson Public Limited Company Ordinary Shares,$245.18,0.60,0.245%,"26,537,699,917"
MBLY,Mobileye Global Inc. Class A Common Stock,$32.71,-2.35,-6.703%,"26,230,538,413"
HZNP,Horizon Therapeutics Public Limited Company Ordinary Shares,$113.50,-0.30,-0.264%,"25,760,254,306"
GEHCV,GE HealthCare Technologies Inc. Common Stock When-Issued,$56.00,-2.38,-4.077%,"25,463,760,224"
CCEP,Coca-Cola Europacific Partners plc Ordinary Shares,$54.36,-0.96,-1.735%,"24,840,213,070"
TSCO,Tractor Supply Company Common Stock,$223.18,-1.79,-0.796%,"24,653,187,019"
TROW,"T. Rowe Price Group, Inc. Common Stock",$109.15,0.09,0.083%,"24,391,184,230"
CDW,CDW Corporation Common Stock,$179.51,0.93,0.521%,"24,304,035,179"
CRWD,"CrowdStrike Holdings, Inc. Class A Common Stock",$103.28,-2.01,-1.909%,"24,208,191,664"
ULTA,"Ulta Beauty, Inc. Common Stock",$471.63,2.56,0.546%,"23,996,898,027"
FANG,"Diamondback Energy, Inc. Common Stock",$131.38,-5.40,-3.948%,"23,900,462,646"
SGEN,Seagen Inc. Common Stock,$128.70,0.19,0.148%,"23,895,072,759"
BGNE,"BeiGene, Ltd. American Depositary Shares",$226.63,6.69,3.042%,"23,537,665,114"
WBD,"Warner Bros. Discovery, Inc. Series A Common Stock ",$9.54,0.06,0.633%,"23,166,897,983"
ACGL,Arch Capital Group Ltd. Common Stock,$62.46,-0.32,-0.51%,"23,102,269,266"
TCOM,Trip.com Group Limited American Depositary Shares,$35.69,1.29,3.75%,"22,904,213,715"
DDOG,"Datadog, Inc. Class A Common Stock",$72.09,-1.41,-1.918%,"22,892,888,721"
EBAY,eBay Inc. Common Stock,$42.15,0.68,1.64%,"22,873,080,517"
SIRI,Sirius XM Holdings Inc. Common Stock,$5.79,-0.05,-0.856%,"22,520,420,220"
FITB,Fifth Third Bancorp Common Stock,$32.64,-0.17,-0.518%,"22,301,714,993"
TTD,"The Trade Desk, Inc. Class A Common Stock",$44.02,-0.81,-1.807%,"21,548,279,811"
VRSN,"VeriSign, Inc. Common Stock",$201.92,-3.52,-1.713%,"21,406,842,796"
ANSS,"ANSYS, Inc. Common Stock",$238.64,-2.95,-1.221%,"20,788,463,760"
ARGX,argenx SE American Depositary Shares,$373.80,-5.03,-1.328%,"20,680,038,683"
PFG,Principal Financial Group Inc Common Stock,$83.77,-0.15,-0.179%,"20,497,077,318"
LI,Li Auto Inc. American Depositary Shares,$20.98,0.58,2.843%,"20,471,278,030"
HBAN,Huntington Bancshares Incorporated Common Stock,$14.10,UNCH,--,"20,342,552,996"
PODD,Insulet Corporation Common Stock,$286.38,-8.01,-2.721%,"19,888,719,565"
ERIC,Ericsson American Depositary Shares,$5.94,0.10,1.712%,"19,803,960,000"
ZM,"Zoom Video Communications, Inc. Class A Common Stock",$66.66,-1.08,-1.594%,"19,486,199,785"
NTRS,Northern Trust Corporation Common Stock,$89.78,1.29,1.458%,"18,711,559,122"
BMRN,BioMarin Pharmaceutical Inc. Common Stock,$100.61,-2.88,-2.783%,"18,698,259,338"
HOLX,"Hologic, Inc. Common Stock",$75.55,0.74,0.989%,"18,572,740,492"
WMG,Warner Music Group Corp. Class A Common Stock,$35.35,0.33,0.942%,"18,200,086,143"
JBHT,"J.B. Hunt Transport Services, Inc. Common Stock",$172.60,-1.76,-1.009%,"17,870,559,210"
INCY,Incyte Corp. Common Stock,$79.55,-0.77,-0.959%,"17,697,923,479"
IEP,"Icahn Enterprises, L.P. Common Stock",$51.64,0.99,1.955%,"17,427,154,830"
RPRX,Royalty Pharma plc Class A Ordinary Shares ,$39.40,-0.12,-0.304%,"17,379,505,638"
TTWO,"Take-Two Interactive Software, Inc. Common Stock",$103.11,-1.02,-0.98%,"17,303,830,082"
LPLA,LPL Financial Holdings Inc. Common Stock,$217.21,1.04,0.481%,"17,289,998,974"
RYAAY,Ryanair Holdings plc American Depositary Shares,$74.52,-0.24,-0.321%,"16,970,656,081"
STLD,"Steel Dynamics, Inc.",$95.17,-2.53,-2.59%,"16,709,130,995"
EXPD,"Expeditors International of Washington, Inc. Common Stock",$104.98,1.06,1.02%,"16,706,137,592"
ALGN,"Align Technology, Inc. Common Stock",$212.28,1.38,0.654%,"16,581,689,870"
FOXA,Fox Corporation Class A Common Stock,$30.27,-0.10,-0.329%,"16,427,334,727"
CINF,Cincinnati Financial Corporation Common Stock,$104.01,1.62,1.582%,"16,348,739,875"
MPWR,"Monolithic Power Systems, Inc. Common Stock",$342.95,-10.66,-3.015%,"16,098,758,900"
RIVN,"Rivian Automotive, Inc. Class A Common Stock",$17.34,-1.09,-5.914%,"15,969,373,659"
SEDG,"SolarEdge Technologies, Inc. Common Stock",$285.43,2.16,0.763%,"15,954,074,171"
CHKP,Check Point Software Technologies Ltd. Ordinary Shares,$126.83,0.67,0.531%,"15,905,918,096"
ZS,"Zscaler, Inc. Common Stock",$110.19,-1.71,-1.528%,"15,890,745,293"
ICLR,ICON plc Ordinary Shares,$193.59,-0.66,-0.34%,"15,805,709,562"
FSLR,"First Solar, Inc. Common Stock",$145.94,-3.85,-2.57%,"15,558,022,723"
FOX,Fox Corporation Class B Common Stock,$28.34,-0.11,-0.387%,"15,379,936,114"
SWKS,"Skyworks Solutions, Inc. Common Stock",$90.50,-0.63,-0.691%,"14,494,576,292"
EVRG,"Evergy, Inc. Common Stock",$62.93,UNCH,--,"14,444,724,708"
LKQ,LKQ Corporation Common Stock,$53.86,0.45,0.843%,"14,390,044,692"
ETSY,"Etsy, Inc. Common Stock",$113.56,-6.22,-5.193%,"14,273,165,165"
SPLK,Splunk Inc. Common Stock,$86.82,0.73,0.848%,"14,212,434,000"
PTC,PTC Inc. Common Stock,$119.65,-0.39,-0.325%,"14,137,140,697"
APA,APA Corporation Common Stock,$43.62,-3.06,-6.555%,"14,024,344,760"
FWONK,Liberty Media Corporation Series C Liberty Formula One Common Stock,$59.51,-0.27,-0.452%,"13,914,751,743"
LNT,Alliant Energy Corporation Common Stock,$55.37,0.16,0.29%,"13,899,078,727"
HTHT,H World Group Limited American Depositary Shares,$42.90,0.48,1.132%,"13,806,027,078"
VTRS,Viatris Inc. Common Stock,$11.38,0.25,2.246%,"13,800,350,725"
EXPE,"Expedia Group, Inc. Common Stock",$87.68,0.08,0.091%,"13,686,048,008"
NDSN,Nordson Corporation Common Stock,$238.03,0.31,0.13%,"13,605,038,817"
TW,Tradeweb Markets Inc. Class A Common Stock,$65.34,0.41,0.631%,"13,591,414,891"
ZBRA,Zebra Technologies Corporation Class A Common Stock,$260.20,3.79,1.478%,"13,434,073,440"
TER,"Teradyne, Inc. Common Stock",$85.93,-1.42,-1.626%,"13,384,125,626"
AKAM,"Akamai Technologies, Inc. Common Stock",$84.97,0.67,0.795%,"13,360,877,551"
GRAB,Grab Holdings Limited Class A Ordinary Shares,$3.46,0.24,7.453%,"13,325,594,454"
AZPN,"Aspen Technology, Inc. Common Stock",$206.26,0.86,0.419%,"13,312,027,825"
SIVB,SVB Financial Group Common Stock,$225.22,-4.92,-2.138%,"13,311,430,807"
MDB,"MongoDB, Inc. Class A Common Stock",$190.75,-6.09,-3.094%,"13,216,258,720"
SSNC,"SS&C Technologies Holdings, Inc. Common Stock",$52.46,0.40,0.768%,"13,215,241,407"
GLPI,"Gaming and Leisure Properties, Inc. Common Stock",$51.19,-0.90,-1.728%,"13,182,291,391"
NTAP,"NetApp, Inc. Common Stock",$60.79,0.73,1.215%,"13,104,704,372"
TECH,Bio-Techne Corp Common Stock,$82.53,-0.35,-0.422%,"12,954,695,806"
LSXMA,Liberty Media Corporation Series A Liberty SiriusXM Common Stock,$39.61,0.30,0.763%,"12,931,163,306"
LSXMK,Liberty Media Corporation Series C Liberty SiriusXM Common Stock,$39.45,0.32,0.818%,"12,878,929,372"
PARAA,Paramount Global Class A Common Stock,$19.83,0.22,1.122%,"12,873,128,570"
JKHY,"Jack Henry & Associates, Inc. Common Stock",$176.10,0.54,0.308%,"12,846,395,151"
ERIE,Erie Indemnity Company Class A Common Stock,$244.45,-4.27,-1.717%,"12,782,258,233"
LSXMB,Liberty Media Corporation Series B Liberty SiriusXM Common Stock,$39.03,-2.135,-5.186%,"12,741,815,295"
TRMB,Trimble Inc. Common Stock,$50.60,0.04,0.079%,"12,479,209,365"
UTHR,United Therapeutics Corporation Common Stock,$273.32,-4.77,-1.715%,"12,457,093,067"
FWONA,Liberty Media Corporation Series A Liberty Formula One Common Stock,$53.15,-0.28,-0.524%,"12,427,643,339"
UAL,"United Airlines Holdings, Inc. Common Stock",$37.21,-0.49,-1.30%,"12,164,984,592"
NICE,NICE Ltd American Depositary Shares,$191.05,-1.25,-0.65%,"12,137,719,058"
AXON,"Axon Enterprise, Inc. Common Stock",$168.24,2.31,1.392%,"11,972,859,157"
ZI,ZoomInfo Technologies Inc Common Stock,$29.44,-0.67,-2.225%,"11,883,662,345"
POOL,Pool Corporation Common Stock,$300.83,-1.50,-0.496%,"11,747,597,413"
NBIX,"Neurocrine Biosciences, Inc. Common Stock",$120.08,0.64,0.536%,"11,543,817,311"
CHK,Chesapeake Energy Corporation Common Stock,$86.13,-8.24,-8.732%,"11,538,933,944"
