Symbol,Name,Last Sale,Net Change,% Change,Market Cap
XPEL,"XPEL, Inc. Common Stock",$59.16,-0.90,-1.499%,"1,633,766,346"
KDNY,"Chinook Therapeutics, Inc. Common Stock",$25.44,-0.76,-2.901%,"1,626,649,373"
VCYT,"Veracyte, Inc. Common Stock",$22.65,-1.08,-4.551%,"1,625,203,094"
INTA,"Intapp, Inc. Common Stock",$25.69,0.75,3.007%,"1,618,550,435"
RYTM,"Rhythm Pharmaceuticals, Inc. Common Stock",$28.64,-0.48,-1.648%,"1,613,816,200"
MLKN,"MillerKnoll, Inc. Common Stock",$21.26,0.25,1.19%,"1,606,333,082"
ADUS,Addus HomeCare Corporation Common Stock,$99.30,-0.19,-0.191%,"1,599,759,145"
GET,Getnet Adquirencia e Servicos para Meios de Pagamento S.A. American Depositary Shares,$1.7129,0.0129,0.759%,"1,598,754,230"
PROK,ProKidney Corp. Class A Ordinary Shares,$6.87,0.01,0.146%,"1,595,654,999"
MRTN,"Marten Transport, Ltd. Common Stock",$19.57,-0.21,-1.062%,"1,587,061,088"
SLN,Silence Therapeutics Plc American Depository Share,$14.69,-0.56,-3.672%,"1,581,601,979"
WABC,Westamerica Bancorporation Common Stock,$58.34,-0.67,-1.135%,"1,570,074,492"
CRTO,Criteo S.A. American Depositary Shares,$25.87,-0.19,-0.729%,"1,557,653,318"
SASR,"Sandy Spring Bancorp, Inc. Common Stock",$34.85,-0.38,-1.079%,"1,555,852,775"
XNCR,"Xencor, Inc. Common Stock",$25.95,-0.09,-0.346%,"1,555,028,215"
HOPE,"Hope Bancorp, Inc. Common Stock",$12.96,0.15,1.171%,"1,548,483,713"
COMM,"CommScope Holding Company, Inc. Common Stock",$7.42,0.07,0.952%,"1,545,953,557"
STEP,StepStone Group Inc. Class A Common Stock,$24.91,-0.27,-1.072%,"1,545,950,147"
TTMI,"TTM Technologies, Inc. Common Stock",$15.12,0.04,0.265%,"1,545,357,366"
LAUR,"Laureate Education, Inc. Common Stock",$9.83,0.21,2.183%,"1,540,324,413"
BRP,"BRP Group, Inc. (Insurance Company) Class A Common Stock",$24.99,-0.15,-0.597%,"1,535,098,590"
IMVT,"Immunovant, Inc. Common Stock",$18.75,1.00,5.634%,"1,533,969,881"
XMTR,"Xometry, Inc. Class A Common Stock",$32.33,0.10,0.31%,"1,533,738,142"
MYRG,"MYR Group, Inc. Common Stock",$92.06,-0.01,-0.011%,"1,528,265,413"
VBTX,"Veritex Holdings, Inc. Common Stock",$28.29,0.21,0.748%,"1,527,804,930"
ESTA,Establishment Labs Holdings Inc. Common Shares,$62.72,-2.93,-4.463%,"1,526,750,749"
STEL,"Stellar Bancorp, Inc. Common Stock",$29.19,-0.27,-0.916%,"1,526,569,571"
LZ,"LegalZoom.com, Inc. Common Stock",$7.90,0.16,2.067%,"1,521,929,265"
MNTK,"Montauk Renewables, Inc. Common Stock",$10.58,-0.45,-4.08%,"1,519,326,945"
AGIO,"Agios Pharmaceuticals, Inc. Common Stock",$27.53,-0.55,-1.959%,"1,512,631,886"
COHU,"Cohu, Inc. Common Stock",$31.73,-0.32,-0.998%,"1,511,298,853"
RVNC,"Revance Therapeutics, Inc. Common Stock",$18.36,-0.10,-0.542%,"1,510,542,966"
RCKT,"Rocket Pharmaceuticals, Inc. Common Stock",$19.16,-0.41,-2.095%,"1,508,448,023"
UDMY,"Udemy, Inc. Common Stock",$10.66,0.11,1.043%,"1,506,496,315"
UCTT,"Ultra Clean Holdings, Inc. Common Stock",$33.10,-0.05,-0.151%,"1,505,938,850"
STER,Sterling Check Corp. Common Stock,$15.49,0.02,0.129%,"1,503,455,264"
FGEN,"FibroGen, Inc Common Stock",$15.95,-0.07,-0.437%,"1,498,625,124"
FBNC,First Bancorp Common Stock,$41.96,-0.88,-2.054%,"1,498,465,198"
DICE,"DICE Therapeutics, Inc. Common Stock",$31.33,0.13,0.417%,"1,493,278,030"
DAWN,"Day One Biopharmaceuticals, Inc. Common Stock",$20.25,-1.27,-5.901%,"1,489,377,902"
APPS,"Digital Turbine, Inc. Common Stock",$15.03,-0.21,-1.378%,"1,488,222,955"
INFN,Infinera Corporation Common Stock,$6.77,0.03,0.445%,"1,487,665,736"
ADTN,"ADTRAN Holdings, Inc. Common Stock",$18.83,0.04,0.213%,"1,470,350,247"
VIVO,Meridian Bioscience Inc. Common Stock,$33.45,0.24,0.723%,"1,466,040,546"
SEAT,Vivid Seats Inc. Class A Common Stock,$7.39,0.09,1.233%,"1,458,786,000"
BGCP,"BGC Partners, Inc Class A Common Stock",$3.94,0.17,4.509%,"1,458,655,161"
HLMN,Hillman Solutions Corp. Common Stock,$7.50,0.29,4.022%,"1,458,570,555"
NMRK,"Newmark Group, Inc. Class A Common Stock",$8.13,0.16,2.008%,"1,457,354,857"
AFYA,Afya Limited Class A Common Shares,$16.19,0.57,3.649%,"1,456,072,680"
EVCM,EverCommerce Inc. Common Stock,$7.51,0.07,0.941%,"1,450,940,689"
EMBC,Embecta Corp. Common Stock,$25.31,0.02,0.079%,"1,447,925,622"
HURN,Huron Consulting Group Inc. Common Stock,$72.61,0.01,0.014%,"1,447,369,910"
TH,Target Hospitality Corp. Common Stock,$14.85,-0.29,-1.915%,"1,444,272,271"
HAIN,"Hain Celestial Group, Inc. (The) Common Stock",$16.13,-0.05,-0.309%,"1,440,628,965"
DSEY,"Diversey Holdings, Ltd. Ordinary Shares",$4.44,0.18,4.225%,"1,439,962,876"
MCRI,"Monarch Casino & Resort, Inc. Common Stock",$75.94,-0.95,-1.236%,"1,439,947,169"
MNRO,"Monro, Inc. Common Stock",$45.59,0.39,0.863%,"1,434,054,968"
RXRX,"Recursion Pharmaceuticals, Inc. Class A Common Stock",$7.55,-0.16,-2.075%,"1,431,145,875"
ROCK,"Gibraltar Industries, Inc. Common Stock",$45.99,0.11,0.24%,"1,424,355,002"
POSH,"Poshmark, Inc. Class A Common Stock",$17.90,0.02,0.112%,"1,418,010,327"
UPWK,Upwork Inc. Common Stock,$10.78,0.34,3.257%,"1,415,871,956"
EGBN,"Eagle Bancorp, Inc. Common Stock",$44.33,0.26,0.59%,"1,414,954,641"
MSEX,Middlesex Water Company Common Stock,$80.08,1.41,1.792%,"1,412,498,688"
BLDP,"Ballard Power Systems, Inc. Common Shares",$4.73,-0.06,-1.253%,"1,411,052,853"
GCMG,GCM Grosvenor Inc. Class A Common Stock,$7.66,0.05,0.657%,"1,410,589,827"
GGAL,Grupo Financiero Galicia S.A. American Depositary Shares,$9.55,-0.18,-1.85%,"1,408,330,860"
JACK,Jack In The Box Inc. Common Stock,$67.71,-0.52,-0.762%,"1,407,160,934"
VRTS,"Virtus Investment Partners, Inc. Common Stock",$194.11,2.67,1.395%,"1,403,798,279"
EVOP,"EVO Payments, Inc. Class A Common Stock",$33.83,-0.01,-0.03%,"1,403,074,656"
SATS,EchoStar  Corporation Common Stock,$16.77,0.09,0.54%,"1,394,104,975"
CLFD,"Clearfield, Inc. Common Stock",$91.38,-2.76,-2.932%,"1,388,834,544"
SOVO,"Sovos Brands, Inc. Common Stock",$13.75,-0.62,-4.315%,"1,388,227,308"
HLIT,Harmonic Inc. Common Stock,$13.11,0.01,0.076%,"1,382,271,374"
IAS,Integral Ad Science Holding Corp. Common Stock,$8.98,0.19,2.162%,"1,381,378,816"
PATK,"Patrick Industries, Inc. Common Stock",$60.95,0.35,0.578%,"1,381,352,210"
CRSR,"Corsair Gaming, Inc. Common Stock",$13.72,0.15,1.105%,"1,379,328,003"
CHCO,City Holding Company Common Stock,$92.58,-0.51,-0.548%,"1,375,343,854"
ROAD,"Construction Partners, Inc. Class A Common Stock",$26.10,-0.59,-2.211%,"1,375,237,893"
MNKD,MannKind Corporation Common Stock,$5.21,-0.06,-1.139%,"1,371,249,040"
CTKB,"Cytek Biosciences, Inc. Common Stock",$10.12,-0.09,-0.881%,"1,364,715,993"
AMPL,"Amplitude, Inc. Class A Common Stock",$12.06,-0.02,-0.166%,"1,364,467,664"
UNIT,Uniti Group Inc. Common Stock,$5.75,0.22,3.978%,"1,363,900,288"
SCHL,Scholastic Corporation Common Stock,$40.09,0.63,1.597%,"1,363,500,589"
AMPH,"Amphastar Pharmaceuticals, Inc. Common Stock",$28.20,0.18,0.642%,"1,362,939,445"
KYMR,"Kymera Therapeutics, Inc. Common Stock",$24.84,-0.12,-0.481%,"1,362,839,819"
ACLX,"Arcellx, Inc. Common Stock",$31.03,0.05,0.161%,"1,360,786,300"
BUSE,First Busey Corporation Class A Common Stock,$24.59,-0.13,-0.526%,"1,358,165,552"
ALKT,"Alkami Technology, Inc. Common Stock",$14.79,0.20,1.371%,"1,352,959,576"
DVAX,Dynavax Technologies Corporation Common Stock,$10.60,-0.04,-0.376%,"1,352,399,717"
OSIS,"OSI Systems, Inc. Common Stock (DE)",$80.13,0.61,0.767%,"1,350,572,159"
AUR,"Aurora Innovation, Inc. Class A Common Stock",$1.16,-0.05,-4.132%,"1,350,534,734"
PRAA,"PRA Group, Inc. Common Stock",$34.58,0.80,2.368%,"1,347,821,548"
TWST,Twist Bioscience Corporation Common Stock,$23.81,UNCH,--,"1,346,894,080"
RNA,"Avidity Biosciences, Inc. Common Stock",$20.25,-1.94,-8.743%,"1,345,865,990"
RETA,"Reata Pharmaceuticals, Inc. Class A Common Stock",$36.71,-1.28,-3.369%,"1,345,188,575"
STBA,"S&T Bancorp, Inc. Common Stock",$34.03,-0.15,-0.439%,"1,327,290,636"
TVTX,"Travere Therapeutics, Inc. Common Stock",$20.66,-0.37,-1.759%,"1,325,825,956"
MGNI,"Magnite, Inc. Common Stock",$9.93,-0.66,-6.232%,"1,324,510,240"
CNXN,"PC Connection, Inc. Common Stock",$50.29,3.39,7.228%,"1,322,041,423"
SKIN,The Beauty Health Company Class A Common Stock,$9.22,0.12,1.319%,"1,320,313,598"
IRBT,iRobot Corporation Common Stock,$48.26,0.13,0.27%,"1,319,980,494"
ARHS,"Arhaus, Inc. Class A Common Stock",$9.40,-0.35,-3.59%,"1,316,594,240"
REPL,"Replimune Group, Inc. Common Stock",$26.35,-0.85,-3.125%,"1,310,633,374"
TTGT,"TechTarget, Inc. Common Stock",$44.49,0.43,0.976%,"1,304,603,405"
SDGR,"Schrodinger, Inc. Common Stock",$18.31,-0.38,-2.033%,"1,304,357,948"
SRCE,1st Source Corporation Common Stock,$52.77,-0.32,-0.603%,"1,301,159,283"
MODV,ModivCare Inc. Common Stock,$91.98,2.25,2.508%,"1,300,443,042"
CLMT,"Calumet Specialty Products Partners, L.P. Common Units",$16.35,-0.53,-3.14%,"1,294,749,682"
NUTX,Nutex Health Inc. Common Stock,$1.99,0.09,4.737%,"1,293,042,437"
AMEH,"Apollo Medical Holdings, Inc. Common Stock",$28.26,-1.33,-4.495%,"1,287,179,274"
PTNR,Partner Communications Company Ltd. American Depositary Shares,$6.90,-0.23,-3.226%,"1,285,058,477"
CHEF,"The Chefs' Warehouse, Inc. Common Stock",$33.45,0.17,0.511%,"1,280,135,079"
OCSL,Oaktree Specialty Lending Corporation Common Stock,$6.98,0.11,1.601%,"1,279,952,265"
DGII,Digi International Inc. Common Stock,$35.83,-0.72,-1.97%,"1,277,932,594"
SAFT,"Safety Insurance Group, Inc. Common Stock",$86.51,2.25,2.67%,"1,274,951,333"
OCFC,OceanFirst Financial Corp. Common Stock,$21.54,0.29,1.365%,"1,273,908,513"
ALGT,Allegiant Travel Company Common Stock,$69.12,1.13,1.662%,"1,271,709,089"
KROS,"Keros Therapeutics, Inc. Common Stock",$45.97,-2.05,-4.269%,"1,266,163,248"
KTOS,"Kratos Defense & Security Solutions, Inc. Common Stock",$10.03,-0.29,-2.81%,"1,263,348,580"
NMFC,New Mountain Finance Corporation Common Stock,$12.50,0.13,1.051%,"1,261,712,825"
ACVA,ACV Auctions Inc. Class A Common Stock,$7.93,-0.28,-3.41%,"1,254,642,849"
ANGI,Angi Inc. Class A Common Stock,$2.48,0.13,5.532%,"1,251,089,280"
CASH,"Pathward Financial, Inc. Common Stock",$43.71,0.66,1.533%,"1,244,285,270"
ATEC,"Alphatec Holdings, Inc. Common Stock",$11.83,-0.52,-4.211%,"1,242,839,973"
TMCI,"Treace Medical Concepts, Inc. Common Stock",$22.39,-0.60,-2.61%,"1,242,684,003"
NXGN,"NextGen Healthcare, Inc. Common Stock",$18.34,-0.44,-2.343%,"1,239,871,977"
RCII,Rent-A-Center Inc. Common Stock,$22.23,-0.32,-1.419%,"1,237,545,167"
MYGN,"Myriad Genetics, Inc. Common Stock",$15.26,0.75,5.169%,"1,236,576,032"
HTLD,"Heartland Express, Inc. Common Stock",$15.59,0.25,1.63%,"1,230,650,654"
DCOM,"Dime Community Bancshares, Inc. Common Stock",$31.85,0.02,0.063%,"1,228,571,294"
TLRY,"Tilray Brands, Inc. Class 2 Common Stock ",$2.75,0.06,2.23%,"1,226,931,313"
IMGO,"Imago BioSciences, Inc. Common stock",$35.98,0.03,0.083%,"1,217,607,419"
TFIN,"Triumph Financial, Inc. Common Stock",$49.73,0.86,1.76%,"1,217,305,262"
EQRX,"EQRx, Inc.  Common Stock",$2.49,0.03,1.22%,"1,216,199,099"
CVAC,CureVac N.V. Ordinary Shares,$6.38,0.35,5.804%,"1,214,007,046"
BCOR,"Blucora, Inc. Common Stock",$25.34,-0.19,-0.744%,"1,213,386,718"
KALU,Kaiser Aluminum Corporation Common Stock,$75.67,-0.29,-0.382%,"1,206,227,094"
PLUS,ePlus inc. Common Stock,$44.82,0.54,1.22%,"1,205,958,697"
OM,"Outset Medical, Inc. Common Stock",$24.90,-0.92,-3.563%,"1,202,866,212"
OTLY,Oatly Group AB American Depositary Shares,$2.01,0.27,15.517%,"1,189,721,010"
VCEL,Vericel Corporation Common Stock,$25.13,-1.21,-4.594%,"1,186,713,663"
SVC,Service Properties Trust Common Stock,$7.15,-0.14,-1.92%,"1,182,991,288"
PLMR,"Palomar Holdings, Inc. Common stock",$46.88,1.72,3.809%,"1,182,910,664"
CFFN,"Capitol Federal Financial, Inc. Common Stock",$8.62,-0.03,-0.347%,"1,181,768,563"
ZNTL,"Zentalis Pharmaceuticals, Inc. Common Stock",$20.65,0.51,2.532%,"1,178,484,989"
DH,Definitive Healthcare Corp. Class A Common Stock,$11.20,0.21,1.911%,"1,176,896,694"
TRS,TriMas Corporation Common Stock,$28.00,0.26,0.937%,"1,175,011,488"
PRIM,Primoris Services Corporation Common Stock,$22.10,0.16,0.729%,"1,173,755,465"
KRNT,Kornit Digital Ltd. Ordinary Shares,$23.40,0.43,1.872%,"1,167,952,313"
AVID,"Avid Technology, Inc. Common Stock",$26.72,0.13,0.489%,"1,167,429,238"
VERV,"Verve Therapeutics, Inc. Common Stock",$18.90,-0.45,-2.326%,"1,164,311,593"
SAVA,"Cassava Sciences, Inc. Common Stock",$27.76,-1.78,-6.026%,"1,158,579,062"
SBSI,"Southside Bancshares, Inc. Common Stock",$35.97,-0.02,-0.056%,"1,154,817,569"
ACDC,ProFrac Holding Corp. Class A Common Stock,$21.40,-3.80,-15.079%,"1,154,720,332"
ERII,"Energy Recovery, Inc. Common Stock",$20.62,0.13,0.634%,"1,154,636,881"
ECPG,Encore Capital Group Inc Common Stock,$49.33,1.39,2.899%,"1,153,618,949"
NEO,"NeoGenomics, Inc. Common Stock",$9.09,-0.15,-1.623%,"1,148,096,642"
VRDN,"Viridian Therapeutics, Inc. Common Stock",$28.50,-0.71,-2.431%,"1,147,075,068"
LBAI,"Lakeland Bancorp, Inc. Common Stock",$17.68,0.07,0.398%,"1,145,833,357"
EVBG,"Everbridge, Inc. Common Stock",$28.66,-0.92,-3.11%,"1,144,267,381"
NKLA,Nikola Corporation Common Stock,$2.22,0.06,2.778%,"1,138,383,777"
ANDE,"Andersons, Inc. (The) Common Stock",$33.97,-1.02,-2.915%,"1,138,093,989"
KFRC,"Kforce, Inc. Common Stock",$54.59,-0.24,-0.438%,"1,132,941,535"
CLNE,Clean Energy Fuels Corp. Common Stock,$5.09,-0.11,-2.115%,"1,132,159,248"
SWIR,"Sierra Wireless, Inc. Common Stock",$28.90,-0.09,-0.31%,"1,129,018,382"
CGC,Canopy Growth Corporation Common Shares,$2.31,UNCH,--,"1,122,505,798"
RADI,"Radius Global Infrastructure, Inc. Class A Common Stock",$11.77,-0.05,-0.423%,"1,121,487,537"
PERI,Perion Network Ltd. Ordinary Shares,$25.10,-0.20,-0.791%,"1,121,040,497"
ADPT,Adaptive Biotechnologies Corporation Common Stock,$7.80,0.16,2.094%,"1,115,494,825"
DCBO,Docebo Inc. Common Shares,$33.88,0.74,2.233%,"1,114,871,000"
OBNK,"Origin Bancorp, Inc. Common Stock",$36.33,-0.37,-1.008%,"1,114,393,759"
SSP,E.W. Scripps Company (The) Class A Common Stock,$13.26,0.07,0.531%,"1,107,096,481"
HIMX,"Himax Technologies, Inc. American Depositary Shares",$6.34,0.13,2.093%,"1,105,052,934"
DMLP,"Dorchester Minerals, L.P. Common Units Representing Limited Partnership Interests",$28.76,-1.17,-3.909%,"1,103,564,139"
HERA,FTAC Hera Acquisition Corp. Class A Ordinary Shares,$10.12,0.01,0.099%,"1,101,407,164"
MBUU,"Malibu Boats, Inc. Class A Common Stock",$53.42,0.12,0.225%,"1,086,846,834"
GABC,"German American Bancorp, Inc. Common Stock",$36.86,-0.44,-1.18%,"1,086,821,560"
SPTN,SpartanNash Company Common Stock,$30.72,0.48,1.587%,"1,083,252,541"
SPNS,Sapiens International Corporation N.V. Common Shares (Cayman Islands),$18.84,0.36,1.948%,"1,082,706,653"
COWN,Cowen Inc. Class A Common Stock,$38.62,UNCH,--,"1,081,912,227"
FORTY,Formula Systems (1985) Ltd. American Depositary Shares,$70.6001,-0.2899,-0.409%,"1,081,428,822"
FCEL,"FuelCell Energy, Inc. Common Stock",$2.66,-0.12,-4.317%,"1,079,223,403"
DCPH,"Deciphera Pharmaceuticals, Inc. Common Stock",$15.94,-0.45,-2.746%,"1,077,162,253"
BBIO,"BridgeBio Pharma, Inc. Common Stock",$7.17,-0.45,-5.906%,"1,071,794,071"
BLU,BELLUS Health Inc. Common Shares,$8.52,0.30,3.65%,"1,071,755,644"
RDNT,"RadNet, Inc. Common Stock",$18.64,-0.19,-1.009%,"1,069,206,244"
HFWA,Heritage Financial Corporation Common Stock,$30.39,-0.25,-0.816%,"1,066,818,097"
SBGI,"Sinclair Broadcast Group, Inc. Class A Common Stock",$15.32,-0.19,-1.225%,"1,066,667,716"
GDEN,"Golden Entertainment, Inc. Common Stock",$37.40,UNCH,--,"1,066,101,474"
CCSI,"Consensus Cloud Solutions, Inc. Common Stock",$53.58,-0.18,-0.335%,"1,062,375,453"
PFBC,Preferred Bank Common Stock,$73.94,-0.68,-0.911%,"1,061,577,431"
UPST,"Upstart Holdings, Inc. Common stock",$12.89,-0.33,-2.496%,"1,055,399,042"
MGI,"Moneygram International, Inc. Common Stock",$10.92,0.03,0.275%,"1,054,271,848"
IMGN,"ImmunoGen, Inc. Common Stock",$4.77,-0.19,-3.831%,"1,052,981,927"
ADEA,Adeia Inc. Common Stock,$9.98,0.50,5.274%,"1,048,489,608"
MNTV,Momentive Global Inc. Common Stock,$7.04,0.04,0.571%,"1,046,584,725"
PDFS,"PDF Solutions, Inc. Common Stock",$27.88,-0.64,-2.244%,"1,042,236,005"
HOLI,"Hollysys Automation Technologies, Ltd. Common Shares (British Virgin Islands)",$16.82,0.39,2.374%,"1,042,218,451"
ARKO,ARKO Corp. Common Stock,$8.66,UNCH,--,"1,039,845,534"
MBIN,Merchants Bancorp Common Stock,$24.12,-0.20,-0.822%,"1,039,803,021"
PLAB,"Photronics, Inc. Common Stock",$16.76,-0.07,-0.416%,"1,034,734,126"
NAAS,NaaS Technology Inc. American Depositary Shares,$4.81,0.92,23.65%,"1,030,107,580"
PCT,"PureCycle Technologies, Inc. Common stock",$6.30,-0.46,-6.805%,"1,030,090,629"
PAYA,Paya Holdings Inc. Class A Common Stock,$7.75,-0.12,-1.525%,"1,024,662,592"
QURE,uniQure N.V. Ordinary Shares,$21.84,-0.83,-3.661%,"1,022,441,981"
BRKL,"Brookline Bancorp, Inc. Common Stock",$13.30,-0.85,-6.007%,"1,022,028,286"
WEST,Westrock Coffee Company Common Stock,$13.47,0.11,0.823%,"1,015,675,783"
INBX,"Inhibrx, Inc. Common Stock",$23.30,-1.34,-5.438%,"1,014,748,133"
STRL,"Sterling Infrastructure, Inc. Common Stock",$33.45,0.65,1.982%,"1,014,527,094"
CCRN,"Cross Country Healthcare, Inc. Common Stock $0.0001 Par Value",$27.19,0.62,2.333%,"1,014,063,693"
MORF,"Morphic Holding, Inc. Common Stock",$26.17,-0.58,-2.168%,"1,008,919,475"
ATRI,Atrion Corporation Common Stock,$568.00,8.55,1.528%,"1,006,849,296"
MATW,Matthews International Corporation Class A Common Stock,$33.19,2.75,9.034%,"1,005,592,313"
ACRS,"Aclaris Therapeutics, Inc. Common Stock",$15.07,-0.68,-4.317%,"1,004,915,688"
KNSA,"Kiniksa Pharmaceuticals, Ltd. Class A Common Stock",$14.44,-0.54,-3.605%,"1,004,038,643"
AMSF,"AMERISAFE, Inc. Common Stock",$52.23,0.26,0.50%,"1,000,511,247"
PLYA,Playa Hotels & Resorts N.V. Ordinary Shares,$6.16,-0.37,-5.666%,"1,000,305,817"
KC,Kingsoft Cloud Holdings Limited American Depositary Shares,$3.94,0.11,2.872%,"999,521,473"
LMAT,"LeMaitre Vascular, Inc. Common Stock",$45.43,-0.59,-1.282%,"999,499,978"
NSSC,"NAPCO Security Technologies, Inc. Common Stock",$27.09,-0.39,-1.419%,"995,415,413"
CAMT,Camtek Ltd. Ordinary Shares,$22.37,0.41,1.867%,"992,881,958"
FATE,"Fate Therapeutics, Inc. Common Stock",$10.17,0.08,0.793%,"988,223,405"
QQQX,Nuveen NASDAQ 100 Dynamic Overwrite Fund Shares of Beneficial Interest,$20.98,0.55,2.692%,"986,465,774"
NWLI,"National Western Life Group, Inc. Class A Common Stock",$271.00,-10.00,-3.559%,"985,361,420"
INNV,InnovAge Holding Corp. Common Stock,$7.23,0.05,0.696%,"980,171,158"
APOG,"Apogee Enterprises, Inc. Common Stock",$44.05,-0.41,-0.922%,"978,521,855"
WALD,Waldencast plc Class A Ordinary Share,$9.075,UNCH,--,"976,150,424"
NYMT,"New York Mortgage Trust, Inc. Common Stock",$2.63,0.07,2.734%,"975,896,484"
FRG,"Franchise Group, Inc. Common Stock",$25.53,1.71,7.179%,"975,394,865"
CRNX,"Crinetics Pharmaceuticals, Inc. Common Stock",$18.10,-0.20,-1.093%,"973,969,616"
RILY,"B. Riley Financial, Inc. Common Stock",$34.19,-0.01,-0.029%,"972,609,255"
PRDO,Perdoceo Education Corporation Common Stock,$14.41,0.51,3.669%,"967,926,257"
NAMS,NewAmsterdam Pharma Company N.V. Ordinary Shares,$11.20,0.30,2.752%,"964,607,190"
IOVA,"Iovance Biotherapeutics, Inc. Common Stock",$6.11,-0.28,-4.382%,"964,405,950"
RGNX,REGENXBIO Inc. Common Stock,$22.25,-0.43,-1.896%,"963,283,290"
NRC,National Research Corporation Common Stock (Delaware),$38.93,1.63,4.37%,"961,230,207"
PFC,Premier Financial Corp. Common Stock,$27.02,0.05,0.185%,"961,003,642"
ME,23andMe Holding Co. Class A Common Stock,$2.10,-0.06,-2.778%,"956,518,042"
ENTA,"Enanta Pharmaceuticals, Inc. Common Stock",$45.75,-0.77,-1.655%,"951,485,213"
VECO,Veeco Instruments Inc. Common Stock,$18.45,-0.13,-0.70%,"948,794,018"
SUMO,"Sumo Logic, Inc. Common Stock",$7.90,-0.20,-2.469%,"948,099,058"
CRON,Cronos Group Inc. Common Share,$2.50,-0.04,-1.575%,"947,736,268"
CNOB,"ConnectOne Bancorp, Inc. Common Stock",$24.07,-0.14,-0.578%,"944,581,971"
VALN,Valneva SE American Depositary Shares,$13.6442,0.9242,7.266%,"943,731,574"
OPK,"OPKO Health, Inc. Common Stock",$1.22,-0.03,-2.40%,"942,676,772"
PWP,Perella Weinberg Partners Class A Common Stock,$9.56,-0.24,-2.449%,"941,665,554"
WKME,WalkMe Ltd. Ordinary Shares,$11.14,-0.04,-0.358%,"941,400,817"
KIDS,OrthoPediatrics Corp. Common Stock,$40.97,1.24,3.121%,"937,864,755"
ASTE,"Astec Industries, Inc. Common Stock",$41.21,0.55,1.353%,"935,980,023"
JBSS,"John B. Sanfilippo & Son, Inc. Common Stock",$81.14,-0.18,-0.221%,"935,291,449"
CONX,CONX Corp. Class A Common Stock,$9.97,0.01,0.10%,"934,986,600"
CMCO,Columbus McKinnon Corporation Common Stock,$32.63,0.16,0.493%,"934,189,558"
OFLX,"Omega Flex, Inc. Common Stock",$92.40,-0.92,-0.986%,"932,715,353"
SCRM,Screaming Eagle Acquisition Corp. Class A Ordinary Shares,$9.93,-0.01,-0.101%,"930,937,500"
SHYF,"The Shyft Group, Inc. Common Stock",$26.50,1.64,6.597%,"929,379,407"
FLGT,"Fulgent Genetics, Inc. Common Stock",$30.66,0.88,2.955%,"926,699,696"
SNCY,"Sun Country Airlines Holdings, Inc. Common Stock",$15.93,0.07,0.441%,"926,595,117"
PLRX,"Pliant Therapeutics, Inc. Common Stock",$19.00,-0.33,-1.707%,"926,428,961"
HCSG,"Healthcare Services Group, Inc. Common Stock",$12.50,0.50,4.167%,"926,100,000"
INVA,"Innoviva, Inc. Common Stock",$13.27,0.02,0.151%,"926,022,865"
MLAB,"Mesa Laboratories, Inc. Common Stock",$172.21,6.00,3.61%,"919,051,533"
GERN,Geron Corporation Common Stock,$2.40,-0.02,-0.826%,"914,964,110"
VEON,VEON Ltd. ADS,$0.52,0.03,6.122%,"909,546,250"
STKL,"SunOpta, Inc. Common Stock",$8.42,-0.02,-0.237%,"908,236,486"
CNDT,Conduent Incorporated Common Stock ,$4.18,0.13,3.21%,"902,546,503"
ARQT,"Arcutis Biotherapeutics, Inc. Common Stock",$14.77,-0.03,-0.203%,"899,903,960"
TITN,Titan Machinery Inc. Common Stock,$39.60,-0.13,-0.327%,"899,191,854"
RDWR,Radware Ltd. Ordinary Shares,$20.05,0.30,1.519%,"899,057,418"
AMTB,Amerant Bancorp Inc. Class A Common Stock,$26.59,-0.25,-0.931%,"898,058,823"
ULH,"Universal Logistics Holdings, Inc. Common Stock",$34.08,0.64,1.914%,"895,538,870"
BCYC,Bicycle Therapeutics plc American Depositary Shares,$30.00,0.40,1.351%,"890,684,130"
PRTC,PureTech Health plc American Depositary Shares,$31.90,UNCH,--,"888,626,497"
IMXI,"International Money Express, Inc. Common Stock",$23.90,-0.47,-1.929%,"885,792,268"
CRAI,"CRA International, Inc. Common Stock",$123.14,0.71,0.58%,"878,589,739"
UFPT,"UFP Technologies, Inc. Common Stock",$115.58,-2.31,-1.959%,"875,935,166"
VNET,"VNET Group, Inc. American Depositary Shares",$5.90,0.23,4.056%,"873,338,792"
OSTK,"Overstock.com, Inc. Common Stock",$18.88,-0.48,-2.479%,"863,566,631"
HIBB,"Hibbett, Inc. Common Stock",$67.52,-0.70,-1.026%,"859,369,240"
IHRT,"iHeartMedia, Inc. Class A Common Stock",$5.99,-0.14,-2.284%,"858,002,137"
CLBT,Cellebrite DI Ltd. Ordinary Shares,$4.52,0.16,3.67%,"857,214,687"
SCHN,"Schnitzer Steel Industries, Inc. Class A Common Stock",$31.26,0.61,1.99%,"855,435,527"
ADMA,ADMA Biologics Inc Common Stock,$3.87,-0.01,-0.258%,"854,895,310"
CYRX,"CryoPort, Inc. Common Stock",$17.42,0.07,0.403%,"853,577,195"
OSW,OneSpaWorld Holdings Limited Common Shares,$9.18,-0.15,-1.608%,"848,925,072"
OXLC,Oxford Lane Capital Corp. Common Stock,$5.17,0.10,1.972%,"845,295,000"
