Symbol,Description,Category2,Category3,GICS Sector,Market cap,Dividend yield,Price to TTM earnings,Price to TTM sales,Price to book value,Action
REG,Regency Centers Corporation,REITs,Large cap,Real Estate,"$11,906,964,982",3.47%,0,0,0,Analyze
PTC,PTC Inc,Common stocks,Large cap,Information Technology,"$11,853,195,448",0.00%,0,0,0,Analyze
LUMN,"CenturyLink, Inc.",Common stocks,Large cap,Communication Services,"$11,773,464,388",8.57%,5.87,0.6,1.01,Analyze
MAS,Masco Corp,Common stocks,Large cap,Industrials,"$11,748,148,620",1.97%,0,0,0,Analyze
BBWI,"Bath & Body Works, Inc.",Common stocks,Large cap,Consumer Discretionary,"$11,659,772,433",1.57%,0,0,0,Analyze
TAP,Molson Coors Brewing Class B,Common stocks,Large cap,Consumer Staples,"$11,647,410,159",1.96%,0,0,0,Analyze
CMA,Comerica Inc,Common stocks,Large cap,Financials,"$11,533,618,597",3.05%,0,0,0,Analyze
HAS,Hasbro Inc,Common stocks,Large cap,Consumer Discretionary,"$11,500,310,400",3.25%,0,0,0,Analyze
DVA,Davita Inc,Common stocks,Large cap,Health Care,"$11,480,886,000",0.00%,0,0,0,Analyze
SNA,Snap On Inc,Common stocks,Large cap,Industrials,"$11,247,459,306",2.51%,0,0,0,Analyze
AAL,American Airlines Group Inc,Common stocks,Large cap,Industrials,"$11,120,112,804",0.00%,0,0,0,Analyze
JNPR,Juniper Networks Inc,Common stocks,Large cap,Information Technology,"$11,038,295,097",2.35%,44.96,2.33,2.63,Analyze
LNC,Lincoln National Corp,Common stocks,Large cap,Financials,"$10,887,066,221",2.73%,7.91,0.57,0.55,Analyze
AIZ,Assurant Inc,Common stocks,Large cap,Financials,"$10,732,608,976",1.44%,0,0,0,Analyze
XRAY,Dentsply Sirona Inc,Common stocks,Large cap,Health Care,"$10,438,627,888",0.94%,0,0,0,Analyze
AOS,A O Smith Corp,Common stocks,Large cap,Industrials,"$10,412,684,380",1.67%,0,0,0,Analyze
MKTX,Marketaxess Holdings Inc,Common stocks,Large cap,Financials,"$10,365,012,213",0.98%,0,0,0,Analyze
WHR,Whirlpool Corp,Common stocks,Large cap,Consumer Discretionary,"$10,233,517,615",3.37%,0,0,0,Analyze
PHM,Pultegroup Inc,Common stocks,Large cap,Consumer Discretionary,"$10,093,982,929",1.38%,0,0,0,Analyze
GL,Globe Life Inc.,Common stocks,Large cap,Financials,"$10,076,887,397",0.79%,0,0,0,Analyze
SEE,Sealed Air Corp,Common stocks,Mid cap,Materials,"$9,926,595,581",1.19%,0,0,0,Analyze
NLSN,Nielsen Holdings Plc,Common stocks,Mid cap,Industrials,"$9,832,702,786",0.87%,0,0,0,Analyze
ZION,Zions Bancorporation,Common stocks,Mid cap,Financials,"$9,602,770,416",2.32%,0,0,0,Analyze
IVZ,Invesco Ltd,Common stocks,Mid cap,Financials,"$9,601,498,538",3.19%,7.01,1.39,0.63,Analyze
LW,Lamb Weston Holdings Inc,Common stocks,Mid cap,Consumer Staples,"$9,571,050,600",1.43%,0,0,0,Analyze
FRT,Federal Realty Investment Trust,REITs,Mid cap,Real Estate,"$9,476,470,880",0.89%,0,0,0,Analyze
NRG,NRG Energy Inc,Common stocks,Mid cap,Utilities,"$9,412,496,400",3.37%,0,0,0,Analyze
ALLE,Allegion PLC,Common stocks,Mid cap,Industrials,"$9,334,780,764",1.40%,0,0,0,Analyze
CDAY,Ceridian HCM Holding Inc.,Common stocks,Mid cap,Information Technology,"$9,334,329,487",0.00%,0,0,0,Analyze
FBHS,Fortune Brands Home And Security,Common stocks,Mid cap,Industrials,"$9,307,946,928",1.50%,0,0,0,Analyze
NWL,Newell Brands Inc,Common stocks,Mid cap,Consumer Discretionary,"$9,251,686,037",4.07%,0,0,0,Analyze
TPR,Tapestry,Common stocks,Mid cap,Consumer Discretionary,"$8,991,489,829",2.19%,0,0,0,Analyze
BWA,BorgWarner Inc,Common stocks,Mid cap,Consumer Discretionary,"$8,893,402,752",1.82%,0,0,0,Analyze
OGN,Organon & Co.,Common stocks,Mid cap,Health Care,"$8,874,764,893",2.38%,0,0,0,Analyze
PNW,Pinnacle West Corp,Common stocks,Mid cap,Utilities,"$8,839,704,930",4.22%,0,0,0,Analyze
PNR,Pentair,Common stocks,Mid cap,Industrials,"$8,703,330,846",1.53%,0,0,0,Analyze
HII,Huntington Ingalls Industries Inc,Common stocks,Mid cap,Industrials,"$8,412,867,990",2.19%,0,0,0,Analyze
WYNN,Wynn Resorts Ltd,Common stocks,Mid cap,Consumer Discretionary,"$8,288,163,026",0.00%,0,0,0,Analyze
VNO,Vornado Realty Trust,REITs,Mid cap,Real Estate,"$7,993,784,014",4.99%,0,0,0,Analyze
MHK,Mohawk Industries Inc,Common stocks,Mid cap,Consumer Discretionary,"$7,871,264,341",0.00%,0,0,0,Analyze
RL,Ralph Lauren Corp Class A,Common stocks,Mid cap,Consumer Discretionary,"$7,735,494,487",2.58%,0,0,0,Analyze
DXC,DXC Technology Company,Common stocks,Mid cap,Information Technology,"$7,505,470,640",0.00%,0,0,0,Analyze
UA,Under Armour Inc Class C,Common stocks,Mid cap,Consumer Discretionary,"$7,118,353,440",0.00%,0,0,0,Analyze
UAA,Under Armour Inc Class A,Common stocks,Mid cap,Consumer Discretionary,"$7,118,353,440",0.00%,0,0,0,Analyze
ALK,Alaska Air Group Inc,Common stocks,Mid cap,Industrials,"$6,739,329,144",0.00%,0,0,0,Analyze
PENN,Penn National Gaming Inc,Common stocks,Mid cap,Consumer Discretionary,"$6,204,371,663",0.00%,0,0,0,Analyze
IPGP,IPG Photonics Corp,Common stocks,Mid cap,Information Technology,"$5,215,890,600",0.00%,18.94,3.57,1.92,Analyze
PVH,PVH Corp,Common stocks,Mid cap,Consumer Discretionary,"$5,209,332,906",0.10%,0,0,0,Analyze
NCLH,Norwegian Cruise Line Holdings Ltd,Common stocks,Mid cap,Consumer Discretionary,"$4,340,980,000",0.00%,0,0,0,Analyze
DISCA,Discovery Communications Inc Series A,Common stocks,Unknown,Communication Services,$0,0.00%,0,0,0,Analyze
DISCK,"Discovery Communications, Inc. - Series C",Common stocks,Unknown,Communication Services,$0,0.00%,0,0,0,Analyze
